experiment,kept,status,name,eval_correlation_score,visual_world_model_score,policy_score_pearson,policy_score_spearman,ood_policy_score_pearson,ood_policy_score_spearman,next_rgb_mse,next_rgb_lpips,next_state_mse_norm,success_bce,train_seconds,eval_seconds,elapsed_seconds,valid_policy_count,fatal,idea,args,out_dir
1,True,ok,baseline_spatial_conv_64,0.8626511658954495,0.7522018919237519,0.43797695854700763,0.6071428571428572,0.8560895114737317,1.0,0.012357713738266303,0.4749076283888121,0.023415011451357888,0.020461507322927,304.83808609700645,274.47988720500143,738.2981767654419,7,,current compact spatial latent AR baseline,{},/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp001_baseline_spatial_conv_64
2,False,ok,cosmos_rollout4,0.7506647257325669,0.6756086041111063,0.4544953936061578,0.39285714285714296,0.6579652693972347,0.5,0.0144523705664856,0.5768655720751842,0.02442275629021954,0.020806681199769403,305.40825902200595,149.6921567709942,535.2481248378754,7,,longer action-conditioned autoregressive rollout consistency,"{""--rollout-batch-size"": 24, ""--rollout-horizon"": 4, ""--rollout-visual-weight"": 0.15}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp002_cosmos_rollout4
3,True,ok,cosmos_rollout6_low_weight,0.8998524013948166,0.7506641571993179,0.6307021989329155,0.6071428571428572,0.9609741550827605,1.0,0.012771821544644334,0.48266130535330454,0.028478561597436284,0.021276268991483313,311.5821248729917,263.9144113670045,617.6453576087952,7,,longer rollout with lower visual weight to reduce blur accumulation,"{""--rollout-batch-size"": 16, ""--rollout-horizon"": 6, ""--rollout-state-weight"": 0.15, ""--rollout-visual-weight"": 0.08}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp003_cosmos_rollout6_low_weight
4,False,ok,genie_more_spatial_tokens,0.7972576214620455,0.7089366619327557,0.5838370728499996,0.7500000000000002,0.5442238988463638,0.5,0.012226124631574634,0.4952254591615292,0.023495366910327498,0.01947483183845641,306.71503774099983,255.07651744199393,613.6426453590393,7,,larger spatial token map and dynamics capacity,"{""--spatial-dynamics-depth"": 3, ""--spatial-dynamics-hidden-channels"": 64, ""--spatial-latent-channels"": 32}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp004_genie_more_spatial_tokens
5,False,ok,genie_finer_tokens,0.11059847643866293,0.3782632920833528,-0.7416634547635658,-0.39285714285714296,-0.9806915908699878,-1.0,0.008813671406164191,0.41760476733010915,0.024161340752426458,0.021622474393606726,306.3931657159992,255.70421164699655,640.4968330860138,7,,higher-resolution spatial latent grid,"{""--spatial-downsample-blocks"": 3, ""--spatial-dynamics-hidden-channels"": 64, ""--spatial-latent-channels"": 16, ""--spatial-width"": 96}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp005_genie_finer_tokens
6,False,ok,sora_wide_latent_map,0.8409013167982662,0.7081500281598209,0.6877131807623035,0.7142857142857144,0.8252116393381116,0.5,0.020664294813045117,0.7371278654691044,0.026288233214224816,0.02054698897957892,308.57282432800275,278.116430923008,654.7105948925018,7,,wider latent/decoder capacity for spatial-patch reconstruction,"{""--spatial-depth"": 2, ""--spatial-dynamics-hidden-channels"": 80, ""--spatial-latent-channels"": 40, ""--spatial-width"": 96}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp006_sora_wide_latent_map
7,False,ok,seedance_efficient_wide_batch,0.018751818013186913,0.3263635644991901,-0.9929687558218349,-0.8571428571428573,-0.9998738429298125,-1.0,0.013653404281973749,0.5714133472399376,0.022756530476265212,0.019122852201454585,303.41096642900084,272.4442777370132,627.2591779232025,7,,A100-efficient larger batch for steadier 5-minute optimization,"{""--batch-size"": 1024, ""--rollout-batch-size"": 32}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp007_seedance_efficient_wide_batch
8,False,failed,seedance_large_batch_low_lr,,,,,,,,,,,,,75.57391452789307,,RuntimeError: train exited 1,large batch with lower LR for stable high-throughput training,"{""--batch-size"": 1536, ""--lr"": 0.0002, ""--weight-decay"": 5e-05}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp008_seedance_large_batch_low_lr
9,False,ok,ar_state_success_heavy,0.7959680835741496,0.7131763250051241,0.38663095211182313,0.42857142857142866,0.5525422879099446,1.0,0.01161728900035763,0.4520720559002681,0.023504555775014542,0.022391455225753497,304.8683570709982,270.17676069799927,604.7689850330353,7,,align generated policy success with progress/success heads,"{""--progress-weight"": 0.3, ""--state-weight"": 1.25, ""--success-weight"": 2.0}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp009_ar_state_success_heavy
10,False,ok,visual_quality_heavy,0.09488033317590316,0.36452500509760133,-0.8838760402757918,-0.8571428571428573,-0.9999384371741256,-0.5,0.012371149445156751,0.4917895212555508,0.0228672191939927,0.019319697932951935,306.5485123089893,269.4893608470011,653.3245153427124,7,,improve generated visual fidelity before policy conditioning,"{""--image-vae-weight"": 0.55, ""--visual-grad-weight"": 0.15, ""--visual-l1-weight"": 0.4, ""--visual-weight"": 1.75}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp010_visual_quality_heavy
11,False,ok,latent_prediction_heavy,0.6034498983244558,0.6187509829457636,0.50329216688285,0.39285714285714296,0.43144987685565345,-0.5,0.012868222375755857,0.5222171128922489,0.02329970898271418,0.020690255514708596,306.0516510580055,290.38522784999805,734.5316061973572,7,,make visual-token transition prediction sharper,"{""--image-vae-weight"": 0.35, ""--visual-latent-weight"": 0.9, ""--visual-weight"": 1.1}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp011_latent_prediction_heavy
12,False,ok,less_aug_clean_rollout,0.8506818738883669,0.7384279683944048,0.6627193569004736,0.642857142857143,0.9998784913493184,0.5,0.013185567127784273,0.5264384505429776,0.02515032502258716,0.020933249568002115,304.7444320979994,255.62530303400126,645.1440489292145,7,,reduce augmentation noise for correlation-sensitive rollouts,"{""--image-augment"": 0.05, ""--rollout-horizon"": 4, ""--rollout-visual-weight"": 0.12}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp012_less_aug_clean_rollout
13,False,ok,more_aug_robust_policy_views,0.18679565265689596,0.4060241563141437,-0.5413519336768274,-0.4642857142857144,-0.9999971307822905,-0.5,0.013737910062367504,0.5754207596667139,0.023743424375942054,0.020782717519516488,303.9162589329935,276.7486795790028,701.9457223415375,7,,augment RGB for policy-conditioned robustness,"{""--image-augment"": 0.25, ""--image-vae-grad-weight"": 0.35, ""--visual-l1-weight"": 0.35}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp013_more_aug_robust_policy_views
14,False,ok,mlp_spatial_dynamics,0.060835880158172026,0.34406157410104404,-0.7634293720903876,-0.7500000000000002,-0.9998835866442359,-1.0,0.012666011919870759,0.5078063111366509,0.02307373163651447,0.021127085783043686,304.05805970299116,265.689254951998,657.728423833847,7,,compare token-flattened dynamics against conv-local dynamics,"{""--spatial-dynamics-depth"": 4, ""--spatial-dynamics-type"": ""mlp"", ""--spatial-latent-channels"": 20}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp014_mlp_spatial_dynamics
15,False,ok,vector_vae_latent,0.6584587679483003,0.6263007772329579,-0.3446870442395328,0.03571428571428572,0.5766429021116488,1.0,0.021773293337313766,0.520135415005846,0.022137747438045856,0.019372084423708177,303.5900970840012,248.68988058100513,617.6336975097656,7,,Sora-like compressed latent bottleneck instead of spatial map,"{""--visual-architecture"": ""vae"", ""--visual-decoder-depth"": 3, ""--visual-decoder-width"": 512, ""--visual-latent-dim"": 256}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp015_vector_vae_latent
16,True,ok,vector_vae_wide,0.9165824712054035,0.758622053112913,0.6934222643573846,0.642857142857143,0.9963803624287003,1.0,0.02202250321345715,0.5387606919938114,0.022953868470945236,0.018866756984165737,304.4497948460048,256.831999935006,616.6541919708252,7,,larger vector latent decoder capacity,"{""--visual-architecture"": ""vae"", ""--visual-decoder-depth"": 3, ""--visual-decoder-width"": 768, ""--visual-latent-dim"": 512}",/workspace/AutoRoboticsBench/runs/autorobobench/robocasa_visual_world_model/a100_autoresearch/exp016_vector_vae_wide
